('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         994897 function calls (970974 primitive calls) in 2.566 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      141    0.000    0.000    0.000    0.000 enum.py:919(<lambda>)
      140    0.000    0.000    0.000    0.000 _models.py:166(encoding)
  138/103    0.000    0.000    0.005    0.000 typing.py:574(__getitem__)
      128    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      128    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
      124    0.006    0.000    0.008    0.000 _compiler.py:470(_get_charset_prefix)
      122    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      120    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      118    0.000    0.000    0.000    0.000 {method '__contains__' of 'set' objects}
      118    0.000    0.000    0.000    0.000 flags.py:31(__contains__)
      117    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
      114    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
   114/78    0.000    0.000    0.002    0.000 {built-in method builtins.repr}
      114    0.000    0.000    0.000    0.000 __init__.py:1764(isEnabledFor)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      110    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      108    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      104    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      103    0.000    0.000    0.000    0.000 enum.py:797(<genexpr>)
